PRJNA Project	SRR Sample ID	Year Collected	Place/Region
PRJDB4326	DRR059891	1948	Japan
PRJDB4326	DRR059892	1953	Japan
PRJDB14584	DRR413352	1953	Japan
PRJNA881958	SRR21640535	1954	Japan
PRJNA881958	SRR21640536	1954	Japan
PRJDB4326	DRR059884	1958	Japan
PRJNA417903	SRR6384799	1967	USA
PRJDB15332	DRR445897	1968	Japan
PRJDB15332	DRR445898	1968	Japan
PRJDB15332	DRR445894	1969	Japan
PRJDB14584	DRR413353	1973	Indonesia
PRJNA354675	SRR6669180	1978	China
PRJNA354811	SRR16282278	1978	Guyana
PRJNA670311	SRR12887173	1978	Guyana
PRJNA417903	SRR6384795	1981	Cote d’Ivoire
PRJNA354675	SRR6669179	1981	China
PRJNA354675	SRR6669183	1981	China
PRJNA354675	SRR6669184	1981	China
PRJNA354675	SRR6669185	1981	China
PRJNA354675	SRR6669186	1981	China
PRJNA354811	SRR16282279	1981	China
PRJNA577277	SRR10271357	1982	French Guiana
PRJDB15332	DRR445891	1983	Japan
PRJNA417903	SRR6384788	1985	China
PRJNA417903	SRR6384774	1986	Mali
PRJNA417903	SRR6384805	1986	Japan
PRJNA354675	SRR6669177	1986	China
PRJNA354675	SRR6669178	1986	China
PRJNA417903	SRR6384792	1987	Brazil
PRJDB15332	DRR445892	1987	Japan
PRJNA354675	SRR6669209	1987	China
PRJNA354675	SRR6669212	1987	China
PRJNA417903	SRR6384793	1989	Burundi
PRJNA417903	SRR6384786	1989	Colombia
PRJDB15332	DRR445896	1990	Japan
PRJNA354675	SRR6669192	1990	China
PRJNA417903	SRR6384789	1991	China
PRJNA417903	SRR6384771	1991	Portugal
PRJNA417903	SRR6384806	1992	India
PRJNA417903	SRR6384807	1992	India
PRJNA354675	SRR6669181	1992	China
PRJNA354675	SRR6669182	1992	China
PRJNA670311	SRR12887208	1992	Philippines
PRJNA417903	SRR6384809	1993	Hungary
PRJNA417903	SRR6384804	1993	India
PRJNA748547	SRR18092269	1994	China
PRJNA417903	SRR6384768	1994	Spain
PRJNA748547	SRR18092204	1994	China
PRJNA748547	SRR18092268	1994	China
PRJNA748547	SRR18092257	1994	China
PRJDB15332	DRR445890	1994	Japan
PRJNA748547	SRR18092251	1995	China
PRJNA748547	SRR18092252	1995	China
PRJNA748547	SRR18092176	1995	China
PRJNA748547	SRR18092180	1995	China
PRJNA748547	SRR18092194	1995	China
PRJNA748547	SRR18092195	1995	China
PRJNA748547	SRR18092200	1995	China
PRJNA748547	SRR18092203	1995	China
PRJNA748547	SRR18092210	1995	China
PRJNA748547	SRR18092244	1995	China
PRJNA748547	SRR18092254	1995	China
PRJNA748547	SRR18092256	1995	China
PRJNA748547	SRR18092182	1995	China
PRJNA748547	SRR18092201	1995	China
PRJNA748547	SRR18092211	1995	China
PRJNA354675	SRR6669201	1995	China
PRJNA354675	SRR6669202	1995	China
PRJNA670311	SRR12887174	1995	Philippines
PRJNA670311	SRR12887187	1995	Philippines
PRJNA670311	SRR12887196	1995	Philippines
PRJNA748547	SRR18092192	1996	China
PRJNA748547	SRR18092199	1996	China
PRJNA748547	SRR18092217	1996	China
PRJNA748547	SRR18092218	1996	China
