Sample	Pita	Piks	Year	Country	State
09A15	FALSE	TRUE	2009	USA	AR
09A17	TRUE	TRUE	2009	USA	AR
09A3	TRUE	TRUE	2009	USA	AR
09A41	TRUE	TRUE	2009	USA	AR
09A42	FALSE	TRUE	2009	USA	AR
09A77	TRUE	TRUE	2009	USA	AR
12A12	FALSE	TRUE	2012	USA	AR
12A15	FALSE	TRUE	2012	USA	AR
12A16	FALSE	TRUE	2012	USA	AR
12A18	FALSE	TRUE	2012	USA	AR
12A23	TRUE	FALSE	2012	USA	AR
12A27	FALSE	TRUE	2012	USA	AR
12A4	FALSE	TRUE	2012	USA	AR
12A8	TRUE	FALSE	2012	USA	AR
12T3	TRUE	FALSE	2012	USA	TX
12T6	TRUE	FALSE	2012	USA	TX
13_113	FALSE	TRUE	2012	USA	NA
13_115	FALSE	TRUE	2012	USA	NA
13_116	FALSE	TRUE	2012	USA	NA
13_129	FALSE	TRUE	2012	USA	NA
13_13	FALSE	TRUE	2012	USA	NA
13_14	FALSE	TRUE	2012	USA	NA
13_151	FALSE	TRUE	2012	USA	NA
13_161	FALSE	TRUE	2012	USA	NA
13_163	FALSE	TRUE	2012	USA	NA
13_173	FALSE	TRUE	2012	USA	NA
13_179	FALSE	TRUE	2012	USA	NA
13_182	FALSE	TRUE	2012	USA	NA
13_184	FALSE	TRUE	2012	USA	NA
13_19	FALSE	TRUE	2012	USA	NA
13_210	FALSE	TRUE	2012	USA	NA
13_43	FALSE	TRUE	2012	USA	NA
13_79	FALSE	TRUE	2012	USA	NA
14A10_1	FALSE	TRUE	2014	USA	AR
14A1_10	FALSE	TRUE	2014	USA	AR
14A11_2	FALSE	TRUE	2014	USA	AR
14A15_2	TRUE	TRUE	2014	USA	AR
14A2_2	TRUE	TRUE	2014	USA	AR
14A22_1	FALSE	TRUE	2014	USA	AR
14A24_1	TRUE	FALSE	2014	USA	AR
14A2_8	FALSE	TRUE	2017	USA	NA
14A29_3	FALSE	TRUE	2014	USA	AR
14A30_11	FALSE	TRUE	2012	USA	NA
14A308_2	TRUE	TRUE	2014	USA	AR
14A33_2	TRUE	FALSE	2014	USA	AR
14A53_3	FALSE	TRUE	2014	USA	AR
14A54_2	FALSE	TRUE	2014	USA	AR
14A55_2	FALSE	TRUE	2014	USA	AR
14A6_1	TRUE	TRUE	2014	USA	AR
14L100_1	FALSE	TRUE	2014	USA	LA
14L2_1	FALSE	TRUE	2014	USA	LA
14L21_1	TRUE	TRUE	2014	USA	LA
14L21_1_REP	FALSE	TRUE	2014	USA	LA
14L35_2	TRUE	TRUE	2014	USA	LA
14L4_1	FALSE	TRUE	2014	USA	LA
14L42_3	TRUE	FALSE	2014	USA	LA
14L50_1	FALSE	TRUE	2014	USA	LA
14L7-1	TRUE	FALSE	2017	USA	NA
14L7_1	FALSE	TRUE	2014	USA	LA
14L78	FALSE	TRUE	2017	USA	NA
14L95_1	FALSE	TRUE	2014	USA	LA
14L97_1	FALSE	TRUE	2014	USA	LA
14L98_3	FALSE	TRUE	2014	USA	LA
14L99_1	FALSE	TRUE	2014	USA	LA
15A1_1	TRUE	TRUE	2015	USA	AR
15A11_2	TRUE	FALSE	2015	USA	AR
15A15_2	TRUE	FALSE	2015	USA	AR
15A16_1	FALSE	TRUE	2015	USA	AR
15A27_1	TRUE	FALSE	2015	USA	AR
15A30_1	FALSE	TRUE	2015	USA	AR
15A3_1	TRUE	TRUE	2015	USA	AR
15A5_2	TRUE	TRUE	2015	USA	AR
15A6_3	TRUE	FALSE	2015	USA	AR
15L10_3	FALSE	TRUE	2015	USA	LA
15L1_2	TRUE	FALSE	2015	USA	LA
15L13_1	TRUE	FALSE	2015	USA	LA
15L15_1	FALSE	TRUE	2015	USA	LA
15L17_1	TRUE	FALSE	2015	USA	LA
15L22_2	TRUE	FALSE	2015	USA	LA
16A4_1_2	FALSE	TRUE	2016	USA	AR
17A8_1_1	FALSE	TRUE	2017	USA	AR
429	TRUE	FALSE	1957	USA	NA
59L13	TRUE	FALSE	1957	USA	NA
60	TRUE	FALSE	1992	USA	NA
65T4	TRUE	FALSE	1967	USA	NA
68A10	TRUE	TRUE	1967	USA	NA
69T12	TRUE	TRUE	1967	USA	NA
74L2	TRUE	TRUE	1974	USA	LA
74T3_6_3	FALSE	TRUE	1972	USA	NA
75A32	FALSE	TRUE	1975	USA	AR
75A49	TRUE	TRUE	1975	USA	AR
75A53	TRUE	FALSE	1975	USA	AR
75L14	FALSE	TRUE	1975	USA	LA
75L26	TRUE	FALSE	1977	USA	NA
75L42	TRUE	FALSE	1975	USA	LA
75T51	TRUE	FALSE	1977	USA	NA
75T85	FALSE	TRUE	1975	USA	TX
77L19	FALSE	TRUE	1977	USA	LA
78A1	FALSE	TRUE	1978	USA	AR
78L8	FALSE	TRUE	1978	USA	LA
78T6	TRUE	TRUE	1978	USA	TX
793	TRUE	FALSE	1967	USA	NA
79A2	TRUE	TRUE	1979	USA	AR
79T4	FALSE	TRUE	1979	USA	TX
80F1	TRUE	FALSE	1980	USA	TX
81F2	TRUE	FALSE	1981	USA	TX
81L12	FALSE	TRUE	1981	USA	LA
81L14	TRUE	TRUE	1981	USA	LA
81L19	TRUE	FALSE	1981	USA	LA
81L31	TRUE	TRUE	1981	USA	LA
82A1	FALSE	TRUE	1982	USA	AR
82T11	FALSE	TRUE	1982	USA	TX
82T4	FALSE	TRUE	1982	USA	NA
83T33	FALSE	TRUE	1983	USA	TX
85A12	TRUE	TRUE	1985	USA	AR
85F1	TRUE	FALSE	1987	USA	NA
85F15	TRUE	FALSE	1985	USA	TX
85L1	TRUE	TRUE	1985	USA	LA
85L11	FALSE	TRUE	1987	USA	NA
85L2	FALSE	TRUE	1985	USA	LA
85L5	TRUE	FALSE	1987	USA	NA
85T2	FALSE	TRUE	1985	USA	TX
88A1	FALSE	TRUE	1988	USA	AR
89T6	TRUE	FALSE	1989	USA	TX
90A30	FALSE	TRUE	1990	USA	AR
91A25	FALSE	TRUE	1991	USA	AR
91A31	FALSE	TRUE	1991	USA	AR
91A38	TRUE	FALSE	1992	USA	NA
91T20	FALSE	TRUE	1991	USA	TX
91T21	FALSE	TRUE	1991	USA	TX
91T40	TRUE	TRUE	1991	USA	TX
92A8_1	TRUE	FALSE	1992	USA	NA
92A8_2	FALSE	TRUE	1992	USA	AR
92L1_2	FALSE	TRUE	1992	USA	LA
92L5_1	FALSE	TRUE	1992	USA	NA
92L6	TRUE	FALSE	1992	USA	LA
92M1_1	FALSE	TRUE	1992	USA	MS
92M2	TRUE	FALSE	1992	USA	MS
92T40	FALSE	TRUE	1992	USA	TX
92T50	FALSE	TRUE	1992	USA	TX
92T78	FALSE	TRUE	1992	USA	TX
92T93	FALSE	TRUE	1992	USA	TX
93A1	FALSE	TRUE	1993	USA	AR
93A2	TRUE	FALSE	1993	USA	AR
93A34	FALSE	TRUE	1993	USA	LA
93A8	FALSE	TRUE	1993	USA	AR
93L12	FALSE	TRUE	1993	USA	LA
93L7	TRUE	FALSE	1993	USA	LA
94A20	FALSE	TRUE	1994	USA	AR
94A8	FALSE	TRUE	1992	USA	NA
94L1_2	FALSE	TRUE	1994	USA	LA
94M1_1	FALSE	TRUE	1994	USA	MS
94T1_3	FALSE	TRUE	1994	USA	TX
94T2_2	FALSE	TRUE	1994	USA	TX
94T75	FALSE	TRUE	1992	USA	NA
95A1	FALSE	TRUE	1995	USA	AR
95T48	FALSE	TRUE	1995	USA	TX
96A15	FALSE	TRUE	1997	USA	NA
96A19	FALSE	TRUE	1996	USA	AR
96M10	TRUE	FALSE	1996	USA	MS
96M9	FALSE	TRUE	1996	USA	MS
97A16	FALSE	TRUE	1997	USA	NA
97C86	TRUE	FALSE	1997	USA	NA
97T72_1	FALSE	TRUE	1997	USA	NA
98A4	FALSE	TRUE	1997	USA	NA
98A6	FALSE	TRUE	1998	USA	AR
AB498875_AVR_PIK_D	FALSE	TRUE	NA	Japan	NA
AB498876.1_AVR_PIK_A	FALSE	TRUE	NA	Japan	NA
AB498877.1_AVR_PIK_B	FALSE	TRUE	NA	Japan	NA
AB498878.1_AVR_PIK_C	FALSE	TRUE	NA	China	NA
AB498879.1__AVR_PIK_E	FALSE	TRUE	NA	Japan	NA
AB520830.1_OS99-G-7A	TRUE	FALSE	1999	Japan	NA
AB520831.1_OS99-G-7A	TRUE	FALSE	1999	Japan	NA
AB607333.1_PO-02-7306	TRUE	FALSE	1973	Indonesia	NA
AB607334.1_84R-62B	TRUE	FALSE	1984	Japan	NA
AB607335.1_Y93-245C-2	TRUE	FALSE	1993	China	NA
AB607336.1_84R-62B	TRUE	FALSE	1984	Japan	NA
AB607337.1_KEN54-04	TRUE	FALSE	1954	Japan	NA
AB607338.1_PO-12-7301-2	TRUE	FALSE	1973	Indonesia	NA
AB607339.1_PO-02-7306	TRUE	FALSE	1973	Indonesia	NA
AB607340.1_IN77-20-1-1	TRUE	FALSE	1977	India	NA
AB607341.1_KANSV1-4-1	TRUE	FALSE	1975	Japan	NA
AB916597.1	FALSE	TRUE	NA	China	NA
AB916598.1	FALSE	TRUE	NA	Japan	NA
AF207841.1_O-137	TRUE	FALSE	1985	China	NA
CG4_2008_	TRUE	FALSE	2008	USA	NA
DQ855953-G-1	TRUE	FALSE	1981	USA	NA
DQ855954.1_G-223	TRUE	FALSE	NA	Burkina Faso	NA
DQ855955.1_G-78	TRUE	FALSE	1983	Philippines	NA
DREW205	TRUE	FALSE	2002	USA	NA
DRR059884	TRUE	TRUE	1958	Japan	NA
DRR059891	TRUE	TRUE	1948	Japan	NA
DRR059892	TRUE	TRUE	1953	Japan	NA
DRR413352	TRUE	TRUE	1953	Japan	NA
DRR413353	TRUE	TRUE	1973	Indonesia	NA
DRR413354	TRUE	TRUE	2012	Philippines	NA
DRR445890	TRUE	TRUE	1994	Japan	NA
DRR445891	TRUE	TRUE	1983	Japan	NA
DRR445892	TRUE	TRUE	1987	Japan	NA
DRR445893	TRUE	TRUE	2022	Japan	NA
DRR445894	TRUE	TRUE	1969	Japan	NA
DRR445896	TRUE	TRUE	1990	Japan	NA
DRR445897	TRUE	TRUE	1968	Japan	NA
DRR445898	TRUE	TRUE	1968	Japan	NA
EF616489.2_LP6	TRUE	FALSE	NA	China	NA
EU055560.1_LP4	TRUE	FALSE	NA	China	NA
EU055561.1_LP5	TRUE	FALSE	NA	China	NA
