Sample,Decade,State,Most Likely Population,Subpop 1,Subpop 2,Subpop 3,Subpop 4,Subpop 5
02_2,2000's,AR,1,1,0,0,0,0
09A1,2000's,AR,3,0,0,0.6173,0.3463,0.0364
09A15,2000's,AR,3,0,0,0.5122,0.3941,0.0937
09A17,2000's,AR,5,0,0,0.0956,0.2323,0.6721
09A3,2000's,AR,5,0,0,0.0956,0.2323,0.6721
09A33,2000's,AR,3,0,0,0.6272,0.3412,0.0316
09A41,2000's,AR,2,0,1,0,0,0
09A42,2000's,AR,2,0,1,0,0,0
09A46,2000's,AR,3,0,0,0.4589,0.4118,0.1293
09A50,2000's,AR,3,0,0,0.557,0.3782,0.0648
09A57,2000's,AR,3,0,0,0.5425,0.3852,0.0723
09A6,2000's,AR,3,0,0,0.5092,0.4041,0.0867
09A62,2000's,AR,3,0,0,0.4589,0.4118,0.1293
09A69,2000's,AR,3,0,0,0.4589,0.4118,0.1293
09A77,2000's,AR,3,0,0,0.5794,0.3631,0.0574
09A8,2000's,AR,4,0,0,0.4184,0.4203,0.1613
09U1,2000's,LA,4,0,0,0.4184,0.4203,0.1613
09U2,2000's,LA,3,0,0,0.5722,0.3698,0.058
12A1,2010's,AR,3,0,0,0.5852,0.3676,0.0472
12A10,2010's,AR,3,0,0,0.5404,0.3889,0.0708
12A12,2010's,AR,5,0,0,0.104,0.2424,0.6535
12A14,2010's,AR,3,0,0,0.9007,0.0988,5e-04
12A15,2010's,AR,5,0,0,0.0956,0.2323,0.6721
12A16,2010's,AR,5,0,0,0.1052,0.2469,0.6479
12A17,2010's,AR,5,0,0,0.1052,0.2469,0.6479
12A18,2010's,AR,3,0,0,0.736,0.2534,0.0106
12A2,2010's,AR,3,0,0,0.5852,0.3676,0.0472
12A20,2010's,AR,3,0,0,0.5404,0.3889,0.0708
12A22,2010's,AR,3,0,0,0.4511,0.4133,0.1356
12A23,2010's,AR,5,0,0,0.0956,0.2323,0.6721
12A25,2010's,AR,3,0,0,0.5454,0.3867,0.0679
12A26,2010's,AR,3,0,0,0.5374,0.3819,0.0807
12A27,2010's,AR,5,0,0,0.0956,0.2323,0.6721
12A28,2010's,AR,3,0,0,0.6173,0.3463,0.0364
12A3,2010's,AR,3,0,0,0.5852,0.3676,0.0472
12A30,2010's,AR,3,0,0,0.5454,0.3867,0.0679
12A32,2010's,AR,3,0,0,0.6173,0.3463,0.0364
12A33,2010's,AR,3,0,0,0.6272,0.3412,0.0316
12A34,2010's,AR,3,0,0,0.6173,0.3463,0.0364
12A35,2010's,AR,5,0,0,0.104,0.2424,0.6535
12A36,2010's,AR,3,0,0,0.4656,0.4227,0.1117
12A37,2010's,AR,3,0,0,0.4311,0.4181,0.1508
12A4,2010's,AR,3,0,0,0.5852,0.3676,0.0472
12A46,2010's,AR,3,0,0,0.4311,0.4181,0.1508
12A48,2010's,AR,3,0,0,0.628,0.3374,0.0346
12A5,2010's,AR,3,0,0,0.5852,0.3676,0.0472
12A51,2010's,AR,1,1,0,0,0,0
12A55,2010's,AR,3,0,0,0.6173,0.3463,0.0364
12A56,2010's,AR,3,0,0,0.6361,0.3325,0.0314
12A6,2010's,AR,3,0,0,0.6851,0.2841,0.0308
12A63,2010's,AR,3,0,0,0.5852,0.3676,0.0472
12A7,2010's,AR,3,0,0,0.6176,0.3237,0.0587
12A8,2010's,AR,3,0,0,0.5852,0.3676,0.0472
12L1,2010's,LA,3,0,0,0.5667,0.3743,0.0591
12L2,2010's,LA,3,0,0,0.5667,0.3743,0.0591
12T1,2010's,TX,3,0,0,0.6851,0.2841,0.0308
12T3,2010's,TX,3,0,0,0.5852,0.3676,0.0472
12T6,2010's,TX,3,0,0,0.5852,0.3676,0.0472
12T8,2010's,TX,3,0,0,0.5852,0.3676,0.0472
12T9,2010's,TX,3,0,0,0.5852,0.3676,0.0472
14A1_1,2010's,AR,5,0,0,0.0956,0.2323,0.6721
14A1_10,2010's,AR,5,0,0,0.0956,0.2323,0.6721
14A10_1,2010's,AR,5,0,0,0.104,0.2424,0.6535
14A11_2,2010's,AR,5,0,0,0.104,0.2424,0.6535
14A13_3,2010's,AR,3,0,0,0.5292,0.3919,0.079
14A15_2,2010's,AR,5,0,0,0.0722,0.1874,0.7404
14A18_6,2010's,AR,3,0,0,0.9318,0.0681,1e-04
14A2_2,2010's,AR,5,0,0,0.0812,0.2035,0.7153
14A20_1,2010's,AR,5,0,0,0.104,0.2424,0.6535
14A22_1,2010's,AR,3,0,0,0.6173,0.3463,0.0364
14A23_4,2010's,AR,5,0,0,0.0956,0.2323,0.6721
14A24_1,2010's,AR,3,0,0,0.5542,0.3768,0.069
14A25_1,2010's,AR,5,0,0,0.0956,0.2323,0.6721
14A27_6,2010's,AR,3,0,0,0.5092,0.4041,0.0867
14A28_1,2010's,AR,3,0,0,0.6143,0.3449,0.0408
14A29_3,2010's,AR,5,0,0,0.0956,0.2323,0.6721
14A30_6,2010's,AR,3,0,0,0.519,0.4,0.081
14A308_2,2010's,AR,3,0,0,0.5454,0.3867,0.0679
14A315_1,2010's,AR,3,0,0,0.5894,0.3664,0.0442
14A33_2,2010's,AR,3,0,0,0.5542,0.3768,0.069
14A34_1,2010's,AR,5,0,0,0.079,0.1968,0.7242
14A36_1,2010's,AR,3,0,0,0.609,0.3527,0.0383
14A38_2,2010's,AR,5,0,0,0.0754,0.2065,0.7181
14A4_1,2010's,AR,3,0,0,0.656,0.3222,0.0218
14A40_2,2010's,AR,3,0,0,0.628,0.3374,0.0346
14A41_1,2010's,AR,5,0,0,0.0956,0.2323,0.6721
14A42_2,2010's,AR,3,0,0,0.4311,0.4181,0.1508
14A44_3,2010's,AR,3,0,0,0.4948,0.3993,0.1059
14A448_2,2010's,AR,5,0,0,0.0956,0.2323,0.6721
14A45_2,2010's,AR,3,0,0,0.5852,0.3676,0.0472
14A50_1,2010's,AR,4,0,0,0.4029,0.4249,0.1721
14A53_3,2010's,AR,5,0,0,0.0111,0.0668,0.9221
14A54_2,2010's,AR,3,0,0,0.4438,0.4154,0.1408
14A55_2,2010's,AR,3,0,0,0.5608,0.3784,0.0608
14A6_1,2010's,AR,4,0,0,0.3812,0.4286,0.1902
14A63_1,2010's,AR,2,0,1,0,0,0
14A7_3,2010's,AR,3,0,0,0.5894,0.3664,0.0442
14A73_2,2010's,AR,3,0,0,0.6173,0.3463,0.0364
14A73_3,2010's,AR,3,0,0,0.6173,0.3463,0.0364
14A76_1,2010's,AR,3,0,0,0.5852,0.3676,0.0472
14A8_1,2010's,AR,5,0,0,0,0,1
14A9_1,2010's,AR,5,0,0,0.0956,0.2323,0.6721
14L10_2,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L100_1,2010's,LA,5,0,0,0.1914,0.3275,0.4811
14L106_2,2010's,LA,5,0,0,0.0819,0.2137,0.7043
14L108_1,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L110_1,2010's,LA,5,0,0,0.0899,0.2192,0.6909
14L112_2,2010's,LA,5,0,0,0.0754,0.2065,0.7181
14L112_3,2010's,LA,5,0,0,0.049,0.1565,0.7945
14L116_1,2010's,LA,5,0,0,0.0561,0.1642,0.7796
14L119_1,2010's,LA,3,0,0,0.4878,0.2862,0.226
14L121_1,2010's,LA,3,0,0,0.6056,0.3496,0.0448
14L13_2,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L14_1,2010's,LA,5,0,0,0.0513,0.1489,0.7998
14L15_1,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L2_1,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L20_3,2010's,LA,4,0,0,0.4029,0.4249,0.1721
14L21_1,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L22_1,2010's,LA,3,0,0,0.557,0.3782,0.0648
14L23_1,2010's,LA,5,0,0,0.0722,0.1874,0.7404
14L24_1,2010's,LA,5,0,0,0.0754,0.2065,0.7181
14L27_1,2010's,LA,3,0,0,0.557,0.3782,0.0648
14L33_1,2010's,LA,5,0,0,0.0754,0.2065,0.7181
14L35_2,2010's,LA,5,0,0,0.0013,0.0164,0.9823
14L37_1,2010's,LA,5,0,0,0.0754,0.2065,0.7181
14L39_1,2010's,LA,3,0,0,0.521,0.396,0.0829
14L4_1,2010's,LA,5,0,0,0.0754,0.2065,0.7181
14L41_3,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L42_3,2010's,LA,3,0,0,0.557,0.3782,0.0648
14L43,2010's,LA,5,0,0,0.0754,0.2065,0.7181
14L48_4,2010's,LA,3,0,0,0.6272,0.3412,0.0316
14L49_2,2010's,LA,3,0,0,0.5092,0.4041,0.0867
14L50_1,2010's,LA,3,0,0,0.557,0.3782,0.0648
14L51_2,2010's,LA,3,0,0,0.6038,0.3525,0.0437
14L69_1,2010's,LA,3,0,0,0.5454,0.3867,0.0679
14L7_1,2010's,LA,5,0,0,0.0754,0.2065,0.7181
14L70_1,2010's,LA,3,0,0,0.557,0.3782,0.0648
14L71_1,2010's,LA,3,0,0,0.5887,0.356,0.0553
14L74_3,2010's,LA,3,0,0,0.5852,0.3676,0.0472
14L8_1,2010's,LA,3,0,0,0.5852,0.3676,0.0472
14L81,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L82_1,2010's,LA,3,0,0,0.557,0.3782,0.0648
14L89_2,2010's,LA,3,0,0,0.557,0.3782,0.0648
14L9_3,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L90_4,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14L94_2,2010's,LA,5,0,0,0.0864,0.214,0.6996
14L95_1,2010's,LA,3,0,0,0.5323,0.3935,0.0742
14L97_1,2010's,LA,5,0,0,0.0722,0.1874,0.7404
14L98_3,2010's,LA,5,0,0,0.0675,0.1759,0.7567
14L99_1,2010's,LA,5,0,0,0.0956,0.2323,0.6721
14T2_4,2010's,TX,3,0,0,0.4511,0.4138,0.1351
14T5,2010's,TX,5,0,0,0.0656,0.2129,0.7215
