SRR12887186	seq00001
SRR6669174	seq00002
DRR445892	seq00003
SRR18092260	seq00004
SRR18092285	seq00005
SRR18092253	seq00006
SRR18092277	seq00007
SRR6384801	seq00008
DRR413353	seq00009
SRR6384799	seq00010
SRR18092193	seq00011
DRR059891	seq00012
SRR12887168	seq00013
SRR12887169	seq00014
SRR12887170	seq00015
SRR12887177	seq00016
SRR12887179	seq00017
SRR12887180	seq00018
SRR12887181	seq00019
SRR12887182	seq00020
SRR12887184	seq00021
SRR12887191	seq00022
SRR12887192	seq00023
SRR12887194	seq00024
SRR12887198	seq00025
SRR12887199	seq00026
SRR12887201	seq00027
SRR12887203	seq00028
SRR12887205	seq00029
SRR12887206	seq00030
SRR12887207	seq00031
SRR12887208	seq00032
SRR12887215	seq00033
SRR14119029	seq00034
SRR16280147	seq00035
SRR18092169	seq00036
SRR18092170	seq00037
SRR18092172	seq00038
SRR18092174	seq00039
SRR18092176	seq00040
SRR18092180	seq00041
SRR18092182	seq00042
SRR18092183	seq00043
SRR18092185	seq00044
SRR18092188	seq00045
SRR18092189	seq00046
SRR18092190	seq00047
SRR18092191	seq00048
SRR18092194	seq00049
SRR18092198	seq00050
SRR18092202	seq00051
SRR18092203	seq00052
SRR18092205	seq00053
SRR18092207	seq00054
SRR18092211	seq00055
SRR18092213	seq00056
SRR18092218	seq00057
SRR18092220	seq00058
SRR18092222	seq00059
SRR18092227	seq00060
SRR18092228	seq00061
SRR18092230	seq00062
SRR18092231	seq00063
SRR18092232	seq00064
SRR18092233	seq00065
SRR18092235	seq00066
SRR18092236	seq00067
SRR18092239	seq00068
SRR18092240	seq00069
SRR18092241	seq00070
SRR18092242	seq00071
SRR18092244	seq00072
SRR18092245	seq00073
SRR18092250	seq00074
SRR18092254	seq00075
SRR18092258	seq00076
SRR18092259	seq00077
SRR18092267	seq00078
SRR18092270	seq00079
SRR18092273	seq00080
SRR18092280	seq00081
SRR18092281	seq00082
SRR18092282	seq00083
SRR18092283	seq00084
SRR18092284	seq00085
SRR21640536	seq00086
SRR24675057	seq00087
SRR24675058	seq00088
SRR3056613	seq00089
SRR6227419	seq00090
SRR6384768	seq00091
SRR6384774	seq00092
SRR6384781	seq00093
SRR6384782	seq00094
SRR6384790	seq00095
SRR6384793	seq00096
SRR6384795	seq00097
SRR6384800	seq00098
SRR6384809	seq00099
SRR6669137	seq00100
SRR6669140	seq00101
SRR6669143	seq00102
SRR6669145	seq00103
SRR6669148	seq00104
SRR6669149	seq00105
SRR6669150	seq00106
SRR6669151	seq00107
SRR6669152	seq00108
SRR6669153	seq00109
SRR6669157	seq00110
SRR6669158	seq00111
