Sample,Decade,State,DAPC Population,ACE1,AVR-Pia,AVR-Pii,AVR-Pita1,AVR-Pizt,AVR-Pi9,AVR-Pib,AVR-Piks,pyrm_37,pyrm_43,pyrm_47,pyrm_63,pyrm_77,pyrm_233,pyrm_409,pyrm_427,pyrm_607,pyrm_657
02_2,2000s,AR,1,1,0,0,0,1,0,1,0,199,-,164,147,197,267,174,-,290,167
09A1,2000s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,216,282,167
09A15,2000s,AR,3,1,0,0,1,1,1,1,1,196,220,174,147,175,269,168,216,282,167
09A17,2000s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
09A3,2000s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
09A33,2000s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,214,282,167
09A41,2000s,AR,2,1,0,0,1,1,1,1,1,199,-,186,149,181,261,201,212,284,167
09A42,2000s,AR,2,1,0,0,1,1,0,1,1,199,-,186,149,181,261,201,212,284,167
09A46,2000s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,175,269,168,216,282,167
09A50,2000s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,218,282,167
09A57,2000s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,175,269,168,216,282,167
09A6,2000s,AR,3,1,0,0,1,1,1,1,0,196,216,176,147,174,269,168,216,282,167
09A62,2000s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,175,269,168,216,282,167
09A69,2000s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,175,269,168,216,282,167
09A77,2000s,AR,3,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,-,169
09A8,2000s,AR,4,1,0,0,1,1,1,1,0,196,216,176,147,175,269,168,216,282,167
09U1,2000s,LA,4,1,0,0,1,1,1,1,0,196,216,176,147,175,269,168,216,282,167
09U2,2000s,LA,3,1,0,0,1,1,1,1,0,196,218,176,147,174,269,168,218,282,167
12A1,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
12A10,2010s,AR,3,1,0,0,1,1,1,1,0,196,-,174,147,174,269,103,216,282,167
12A12,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
12A14,2010s,AR,3,1,0,0,1,1,1,1,1,196,208,171,147,177,-,168,-,290,169
12A15,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
12A16,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,264,168,218,290,169
12A17,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,264,168,218,290,169
12A18,2010s,AR,3,1,0,0,1,1,1,1,1,196,210,174,147,174,269,103,216,282,167
12A2,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
12A20,2010s,AR,3,1,0,0,1,1,1,1,0,196,-,174,147,174,269,103,216,282,167
12A22,2010s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,175,269,168,216,278,167
12A23,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
12A25,2010s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,216,282,167
12A26,2010s,AR,3,1,0,0,1,1,1,1,0,196,218,178,147,175,269,168,216,282,167
12A27,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
12A28,2010s,AR,3,1,0,0,1,1,1,1,1,196,214,174,147,174,269,168,216,282,167
12A3,2010s,AR,3,1,0,0,1,1,0,1,0,196,214,176,147,174,269,168,216,282,167
12A30,2010s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,216,282,167
12A32,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,216,282,167
12A33,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,214,282,167
12A34,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,216,282,167
12A35,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
12A36,2010s,AR,3,1,0,0,1,1,1,1,0,196,208,176,147,175,269,168,216,282,167
12A37,2010s,AR,3,1,0,0,1,1,1,1,0,196,210,176,147,175,269,168,216,282,167
12A4,2010s,AR,3,1,0,0,1,1,1,1,1,196,214,176,147,174,269,168,216,282,167
12A46,2010s,AR,3,1,0,0,1,1,1,1,0,196,210,176,147,175,269,168,216,282,167
12A48,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,218,282,167
12A5,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
12A51,2010s,AR,1,1,0,0,1,1,1,1,0,199,-,166,147,197,267,174,200,290,167
12A55,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,216,282,167
12A56,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,178,147,174,269,168,216,282,167
12A6,2010s,AR,3,1,0,0,1,1,0,1,0,196,214,176,147,174,-,168,216,282,167
12A63,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
12A7,2010s,AR,3,1,0,0,1,1,1,1,0,196,216,176,147,174,-,168,216,282,167
12A8,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
12L1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,178,147,174,269,168,216,282,167
12L2,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,178,147,174,269,168,216,282,167
12T1,2010s,TX,3,1,0,0,1,1,0,1,0,196,214,176,147,174,-,168,216,282,167
12T3,2010s,TX,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
12T6,2010s,TX,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
12T8,2010s,TX,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
12T9,2010s,TX,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
14A10_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
14A11_2,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
14A13_3,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,171,147,175,269,168,216,282,167
14A15_2,2010s,AR,5,1,0,0,1,1,0,1,1,196,210,171,147,177,267,168,216,290,169
14A18_6,2010s,AR,3,1,0,0,1,1,0,1,1,196,-,-,147,174,269,168,-,282,167
14A1_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14A1_10,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14A20_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
14A22_1,2010s,AR,3,1,0,0,1,1,1,1,1,196,214,174,147,174,269,168,216,282,167
14A23_4,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14A24_1,2010s,AR,3,1,0,0,1,1,0,1,0,196,214,174,147,175,269,168,218,282,167
14A25_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14A27_6,2010s,AR,3,1,0,0,1,1,1,1,0,196,216,176,147,174,269,168,216,282,167
