Sample,PRJNA Project,Year_Collected,Place/Region,ACE1,AVR-Pi9,AVR-Pia,AVR-Pib,AVR-Pii,AVR-Piks,AVR-Pita1,AVR-Pizt
DRR059891,PRJDB4326,1948,Japan,1,1,0,1,0,1,1,1
DRR059892,PRJDB4326,1953,Japan,0,0,0,1,0,1,1,1
DRR413352,PRJDB14584,1953,Japan,1,0,0,1,0,1,1,1
SRR21640535,PRJNA881958,1954,Japan,1,0,0,1,1,1,1,1
SRR21640536,PRJNA881958,1954,Japan,1,0,0,1,1,1,1,1
DRR059884,PRJDB4326,1958,Japan,1,1,1,1,1,1,1,1
SRR6384799,PRJNA417903,1967,USA,1,1,0,0,0,0,1,1
DRR445897,PRJDB15332,1968,Japan,1,0,0,1,1,0,1,1
DRR445898,PRJDB15332,1968,Japan,1,1,1,1,0,0,1,1
DRR445894,PRJDB15332,1969,Japan,1,0,0,1,0,1,1,1
DRR413353,PRJDB14584,1973,Indonesia,1,1,0,1,0,1,0,0
46TM,-,1974,USA - LA,1,1,0,1,0,1,1,1
13TM,-,1974,USA - TX,1,1,0,0,0,1,1,1
20TM,-,1974,USA - TX,1,1,0,1,0,1,1,1
22TM,-,1974,USA - TX,1,1,0,1,0,0,1,1
38TM,-,1974,USA - TX,1,1,0,1,0,1,1,1
42TM,-,1974,USA - TX,1,1,0,1,0,1,1,1
47TM,-,1974,USA - TX,1,1,0,1,0,1,1,1
579TM,-,1974,USA - TX,0,1,0,1,0,1,0,1
23TM,-,1975,USA - AR,1,1,0,1,0,1,1,1
26TM,-,1975,USA - AR,1,1,0,1,0,1,1,1
27TM,-,1975,USA - AR,1,1,0,1,0,1,1,1
29TM,-,1975,USA - AR,1,1,0,1,0,1,0,1
41TM,-,1975,USA - AR,1,0,0,1,0,1,1,1
48TM,-,1975,USA - AR,1,1,0,1,0,1,1,1
573TM,-,1975,USA - AR,0,1,0,1,0,1,0,0
574TM,-,1975,USA - AR,0,0,0,1,0,0,1,0
576TM,-,1975,USA - AR,1,1,0,1,0,1,1,1
577TM,-,1975,USA - AR,1,1,0,1,0,1,1,1
585TM,-,1975,USA - AR,1,1,0,1,0,0,0,0
8TM,-,1975,USA - AR,1,1,0,0,0,1,1,1
16_17_21,-,1975,USA - LA,1,1,0,1,0,1,0,1
16TM,-,1975,USA - LA,1,1,0,1,0,1,0,1
30TM,-,1975,USA - LA,1,1,0,1,0,1,0,1
36TM,-,1975,USA - LA,0,1,0,1,0,1,0,1
