State,Year,Pi-km,Pi-ks,Pi-z,Pi-ta Pi-ta2 Ptr,pi-d,Pi-b,Pi-a,Pi-i
AR,1960,0.0000,0.4440,0.0010,0.0000,0.0000,0.0000,0.0010,0.9394
AR,1961,0.0000,0.4440,0.0010,0.0000,0.0000,0.0000,0.0010,0.9394
AR,1962,0.0000,0.4440,0.0010,0.0000,0.0000,0.0000,0.0010,0.9394
AR,1963,0.0000,0.4440,0.0010,0.0000,0.0000,0.0000,0.0010,0.9394
AR,1964,0.0011,0.4439,0.0018,0.0000,0.0004,0.0000,0.0022,0.9380
AR,1965,0.0023,0.4327,0.0022,0.0000,0.0008,0.0000,0.0030,0.9707
AR,1966,0.0032,0.4296,0.0025,0.0000,0.0011,0.0000,0.0036,0.9510
AR,1967,0.0119,0.3693,0.0032,0.0000,0.0087,0.0000,0.0692,0.8925
AR,1968,0.0324,0.2845,0.0084,0.0000,0.0241,0.0000,0.2657,0.5429
AR,1969,0.0363,0.2687,0.0156,0.0000,0.0207,0.0000,0.1172,0.3278
AR,1970,0.0225,0.2392,0.0133,0.0000,0.0092,0.0000,0.0838,0.2310
AR,1971,0.0121,0.2493,0.0093,0.0000,0.0061,0.0000,0.0465,0.2121
AR,1972,0.0090,0.2723,0.0095,0.0000,0.0060,0.0000,0.0451,0.2225
AR,1973,0.0280,0.2986,0.0201,0.0000,0.0159,0.0000,0.1044,0.2138
AR,1974,0.0437,0.3114,0.0613,0.0000,0.0371,0.0000,0.1098,0.2066
AR,1975,0.0534,0.3194,0.0869,0.0000,0.0503,0.0000,0.1131,0.2021
AR,1976,0.2476,0.2939,0.0870,0.0000,0.2456,0.0000,0.0652,0.1518
AR,1977,0.3436,0.2528,0.0775,0.0000,0.3426,0.0000,0.0171,0.1073
AR,1978,0.3341,0.2346,0.1293,0.0000,0.3335,0.0000,0.0097,0.0591
AR,1979,0.3089,0.2358,0.1756,0.0000,0.3086,0.0000,0.0048,0.0292
AR,1980,0.2670,0.3053,0.2989,0.0000,0.2670,0.0000,0.0000,0.0000
AR,1981,0.1589,0.3304,0.3212,0.0000,0.1571,0.0000,0.0000,0.0000
AR,1982,0.1559,0.3244,0.3154,0.0000,0.1518,0.0000,0.0000,0.0000
AR,1983,0.2219,0.3701,0.3552,0.0000,0.2130,0.0000,0.0000,0.0000
AR,1984,0.3054,0.2801,0.2598,0.0000,0.2132,0.0000,0.0000,0.0000
AR,1985,0.8500,0.1181,0.0840,0.0000,0.1787,0.0000,0.0000,0.0000
AR,1986,0.8217,0.1675,0.0753,0.0000,0.1281,0.0000,0.0000,0.0000
AR,1987,0.7359,0.2531,0.1170,0.0011,0.1850,0.0000,0.0000,0.0000
AR,1988,0.6423,0.3450,0.1008,0.0019,0.3135,0.0000,0.0000,0.0000
AR,1989,0.7202,0.2647,0.0979,0.0030,0.2738,0.0000,0.0000,0.0000
AR,1990,0.6305,0.3394,0.1199,0.0551,0.2346,0.0000,0.0000,0.0000
AR,1991,0.5711,0.3714,0.1352,0.1288,0.1764,0.0000,0.0000,0.0000
AR,1992,0.3841,0.3834,0.1149,0.2189,0.1806,0.0000,0.0000,0.0000
AR,1993,0.2548,0.3622,0.1437,0.2194,0.1553,0.0000,0.0000,0.0000
AR,1994,0.2122,0.4168,0.2266,0.1919,0.1867,0.0000,0.0000,0.0000
AR,1995,0.6147,0.2439,0.1542,0.1347,0.1646,0.0000,0.0000,0.0000
AR,1996,0.7197,0.2296,0.2254,0.3433,0.0950,0.0000,0.0000,0.0000
AR,1997,0.7543,0.2152,0.1852,0.3703,0.1167,0.0000,0.0000,0.0000
AR,1998,0.4821,0.5032,0.1541,0.4508,0.1363,0.0000,0.0000,0.0000
AR,1999,0.4651,0.5244,0.2309,0.4014,0.1859,0.0000,0.0000,0.0000
AR,2000,0.5054,0.4854,0.2083,0.3072,0.1138,0.0007,0.0000,0.0000
AR,2001,0.7682,0.2259,0.0942,0.1471,0.0640,0.0012,0.0000,0.0000
AR,2002,0.8213,0.1739,0.0974,0.0858,0.0388,0.0020,0.0000,0.0000
AR,2003,0.7820,0.1519,0.1175,0.0384,0.0309,0.0020,0.0000,0.0000
AR,2004,0.7416,0.1386,0.1050,0.0256,0.0100,0.0013,0.0000,0.0000
AR,2005,0.7283,0.1040,0.0686,0.0574,0.0021,0.0006,0.0000,0.0150
AR,2006,0.6300,0.1775,0.0936,0.0448,0.0025,0.0000,0.0000,0.0454
AR,2007,0.6271,0.1917,0.0899,0.0483,0.0013,0.0000,0.0000,0.0578
AR,2008,0.4410,0.2417,0.0201,0.0232,0.0004,0.0000,0.0000,0.1735
AR,2009,0.2930,0.3605,0.0368,0.0175,0.0000,0.0000,0.0000,0.2061
AR,2010,0.2928,0.5043,0.0288,0.0199,0.0000,0.0000,0.0000,0.0986
AR,2011,0.2561,0.6045,0.0208,0.0930,0.0000,0.0000,0.0000,0.0836
AR,2012,0.1409,0.6325,0.0150,0.0253,0.0000,0.0000,0.0000,0.1500
AR,2013,0.0910,0.7354,0.0119,0.0107,0.0000,0.0000,0.0000,0.1028
AR,2014,0.1379,0.7619,0.0036,0.0071,0.0000,0.0000,0.0000,0.0599
AR,2015,0.1698,0.7421,0.0152,0.0078,0.0000,0.0000,0.0000,0.0448
AR,2016,0.1702,0.7274,0.0227,0.0065,0.0000,0.0000,0.0000,0.0514
AR,2017,0.0864,0.6596,0.0515,0.0100,0.0000,0.0000,0.0000,0.0465
AR,2018,0.0865,0.6589,0.0516,0.0100,0.0000,0.0000,0.0000,0.0466
LA,1960,0.0222,0.4274,0.0684,0.0000,0.0222,0.0000,0.0337,0.8413
LA,1961,0.0415,0.4273,0.0713,0.0000,0.0415,0.0000,0.0066,0.8185
LA,1962,0.0535,0.5072,0.0846,0.0000,0.0531,0.0000,0.0038,0.8082
LA,1963,0.0717,0.5988,0.1170,0.0000,0.0710,0.0000,0.0007,0.7686
LA,1964,0.0881,0.6418,0.1194,0.0000,0.0871,0.0000,0.0017,0.7485
LA,1965,0.1134,0.6528,0.1102,0.0000,0.0992,0.0000,0.0025,0.7324
LA,1966,0.4112,0.6981,0.3828,0.0000,0.1054,0.0000,0.0031,0.4309
LA,1967,0.5243,0.6898,0.4541,0.0000,0.1408,0.0000,0.0576,0.3079
LA,1968,0.5840,0.7139,0.5222,0.0000,0.1303,0.0000,0.0712,0.2216
LA,1969,0.6017,0.6763,0.5303,0.0000,0.1497,0.0000,0.0856,0.1742
LA,1970,0.5812,0.6673,0.5124,0.0000,0.1621,0.0000,0.0361,0.1594
LA,1971,0.5223,0.6251,0.4611,0.0000,0.1689,0.0000,0.0236,0.1575
LA,1972,0.4758,0.6250,0.4183,0.0000,0.1785,0.0000,0.0126,0.1957
LA,1973,0.4720,0.6927,0.4722,0.0000,0.1638,0.0000,0.0103,0.1873
LA,1974,0.4748,0.6831,0.4621,0.0000,0.1775,0.0000,0.0100,0.1807
LA,1975,0.4774,0.6742,0.4526,0.0000,0.1902,0.0000,0.0096,0.1745
LA,1976,0.4539,0.6195,0.4406,0.0000,0.2125,0.0000,0.0081,0.1323
LA,1977,0.4559,0.6153,0.4383,0.0000,0.2192,0.0000,0.0080,0.1296
LA,1978,0.4578,0.6113,0.4361,0.0000,0.2256,0.0000,0.0078,0.1270
LA,1979,0.4596,0.6074,0.4340,0.0000,0.2318,0.0000,0.0076,0.1245
LA,1980,0.4614,0.6037,0.4320,0.0000,0.2377,0.0000,0.0075,0.1221
LA,1981,0.4630,0.6001,0.4300,0.0000,0.2434,0.0000,0.0073,0.1198
