R gene (line ID),12A8,12A23,SSID_12,SSID_25,SSID_40,SSID_60,SSID_110,SSID_116,SSID_ 118,Tm2,B1,JX19,LNB02 ,14A1_10,14A2_2,14A10_1,14A15_2,14A18_6,14A24_1,14A29_3 ,14A30_6,14A45_2,14A308_2,14L7_1,14L21_1,14L42_3,14L35_2,14L48_4,14L49_2,14L50-1,14L71-1,14L78-1,14L89-2,14L100_1,15A1_1,15A3_1,15A5_2,15A6_3,15A7_3,15A8_1,15A10_1,15A11_2,15A13-2,15A15_2,15A16_1,15A17-1,15A23-2,15A25-1,15A27_1,15A29_1,15A30_1,15T1-1,15L1-2,15L3_1,15L13_1,15L15_1,15L17_1,15L18-1,15L22_2,15L22_3,15L24_3,15L26_1,15L27_1,15L28_2
Pi-a (IRBLa-A),-,-,5,4,5,4,-,5,-,5,4,5,-,5,5,5,5,5,4.5,3.3,5,3,5,3.8,5,5,5,5,5,5,4,4,3,5,5,5,5,4.5,4.5,4,4,4.3,4.5,4.5,4,4.5,4.3,4.7,4.5,5,4,5,4.5,5,5,5,4.5,4,5,5,5,3.5,5,5
Pi-i (IRBLi-F5),-,-,5,5,5,5,-,5,-,5,4,5,-,5,5,5,5,5,4.5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4.5,5,5,5,4.2,4,4.5,4,4.5,4.5,5,4.3,4,4.7,5,5,4,5,5,5,5,4,4.5,5,5,5,5,3.5,5,5
Pi-ks (IRBLks-S),-,-,5,4,5,4,-,5,-,4,4,5,-,5,5,5,5,5,4.5,3.8,5,4,4,4.5,5,5,5,5,5,4,4,4,4,5,3,4,4,4,3.5,4.3,4,5,4,4.5,5,3,1,3.5,4.5,4.5,4,5,4,5,5,3.5,4.5,4.5,4.5,5,5,4,5,4.5
Pi-k (IRBLk-ka),-,-,3,4.5,3,4,5,4.5,-,5,5,4.5,5,4,4,4,1,5,5,0.7,5,4.5,5,2.2,3,5,3,5,5,4,4,4,4,4,3.5,0.8,3.3,4.5,4,5,4.5,5,5,5,2.3,5,0,4.3,5,3.8,2.7,5,4,5,5,1.6,4.5,4.5,5,4,5,4.5,5,5
Pi-kp (IRBLkp-K60),-,-,2.5,4.5,3,5,5,4.5,-,5,5,4.5,5,4,3,4,5,5,5,1,5,4,5,2.2,4,5,4,5,5,4,5,3.3,5,4,4,0,3.5,5,3.8,4.5,5,5,-,5,3.5,5,1,3.3,5,4.5,2.8,5,4.5,5,5,4,5,4.5,3,4.5,5,4.5,5,5
Pi-kh (IRBLkh-K3),-,-,2.5,4.5,3,5,5,5,-,5,4.5,4.5,5,3.3,2.7,2.3,1.5,5,5,1.7,5,4,2,1,0.5,4.5,2,4.7,5,4,4.5,1.3,3.5,2,1.7,1,1,5,4,5,4.3,5,5,5,2,0,0,4.3,5,4.5,0,5,4,5,5,3.5,4,4.5,5,4.5,5,4.5,5,5
Pi-km (IRBLkm-Ts),-,-,0,4.7,0,5,4,5,-,5,5,4.7,5,3,2,1.7,0,5,4.3,0,4.7,4,2,0,1,5,2.3,5,5,4.5,4,0,4.7,1,1.3,0,0.5,4.5,3.5,3.5,5,5,4,5,2,0,0,4,5,3.8,1.2,5,4,5,5,0.8,4.5,5,4.5,5,5,4.5,4.5,5
Pi-1 (IRBL1-CL),-,-,1,-,0,0,0,1.3,-,1.3,3,3.5,1,3.7,1.7,2.3,0,3,0,0,4,1,0.7,3.5,3,2.5,2.7,3,4,0.3,1,3.8,0,1.3,0,1.4,4.5,3.3,4,0,0.5,3,1.4,4,0,0,0,0.3,0,4,0,3.3,1.8,3,3,3.3,1.9,3.3,2,4.3,4,3.5,3.3,3.5
Pi-z (IRBLz-Fu),-,-,2,4.5,2,4,4,4.5,-,3,2,4,4,3.5,4,3.5,4,5,5,3,5,4,5,2.3,3,5,3.5,5,5,5,4,2.8,4,4,2,3,4,1.5,4.2,4,3.5,4.5,4,4,3.3,1.7,1.3,3,4.5,2.2,3,5,4,5,5,4,4,4.5,5,5,4.5,4.5,5,5
Piz-t (IRBLzt-T),0,0,0,0.3,0.5,0.5,0,0,0.5,0.7,0.5,0,1,0.5,0,1,0,0,0,0,0.5,0,0,0.5,0,0,1,0,0,0,0.3,0.8,0,1,0,0.3,0.3,1.1,0.9,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.3,1.8,0.3,0.8,0
