URN#18	seq00001
URN#10	seq00002
EU055569.1_YC35	seq00003
SRR12887174	seq00004
SRR6669194	seq00005
FJ842890.1_RP44	seq00006
AB607338.1_PO-12-7301-2	seq00007
SRR12887183	seq00008
SRR12887186	seq00009
SRR12887211	seq00010
SRR12887212	seq00011
SRR12887213	seq00012
FJ842891.1_FC23	seq00013
SRR6669224	seq00014
SRR18092228	seq00015
SRR18092231	seq00016
SRR18092232	seq00017
SRR6227418	seq00018
SRR6227419	seq00019
SRR6669166	seq00020
SRR6669197	seq00021
SRR6669220	seq00022
SRR18092190	seq00023
SRR18092218	seq00024
SRR18092235	seq00025
SRR18092236	seq00026
SRR6669169	seq00027
SRR6669173	seq00028
SRR6669176	seq00029
SRR6669196	seq00030
SRR6669219	seq00031
SRR6669221	seq00032
SRR6669223	seq00033
SRR14119011	seq00034
AB607339.1_PO-02-7306	seq00035
14A33_2	seq00036
JX467665-ARB147	seq00037
FJ842898.1_PTR25	seq00038
FJ842897.1_93L29	seq00039
JX467666-ARB162	seq00040
FJ842896.1_SEF11	seq00041
FJ842889.1_ZN62	seq00042
FJ842888.1_93L6	seq00043
FJ842895.1_SEF10	seq00044
14A6_1	seq00045
15A6_3	seq00046
12A23	seq00047
TERRY	seq00048
FJ842887.1_ZN25	seq00049
SRR18092203	seq00050
HE650792.1_MO-SI-56	seq00051
SRR18767171	seq00052
HE650777.1_MO-EI-25	seq00053
HE651028.1_MO-EI-24	seq00054
FJ842894.1_IN46	seq00055
FJ842893.1_IN24	seq00056
HE650781.1_MO-NWI-46	seq00057
HE578870.1_MO-NWI-46	seq00058
HE578831.1_MO-NI-008	seq00059
HE578866.1_MO-NWI-85	seq00060
HE584697.1_MO-NI-025	seq00061
HE578876.1_MO-NWI-203	seq00062
HE578861.1_MO-NWI-31	seq00063
HE650779.1_MO-EI-28	seq00064
HE650776.1_MO-EI-21	seq00065
HE659369.1_MO-EI-4	seq00066
HE578862.1_MO-EI-40	seq00067
HE578860.1_MO-EI-114	seq00068
HE578857.1_MO-EI-20	seq00069
HE578854.1_MO-EI-11	seq00070
HE578852.1_MO-EI-7	seq00071
HE578851.1_MO-EI-5	seq00072
HE578850.1_MO-EI-3	seq00073
HE657547.1_MO-EI-12	seq00074
HE657546.1_MO-EI-10	seq00075
HE657545.1_MO-EI-9	seq00076
HE657544.1_MO-EI-6	seq00077
HE657543.1_MO-EI-2	seq00078
