sample,pyrm_233,pyrm_37,pyrm_409,pyrm_427,pyrm_43,pyrm_47,pyrm_607,pyrm_63,pyrm_657,pyrm_77
DRR059884,257,199,168,215,215,171,290,147,168,179
DRR059891,257,199,172,211,200,175,287,149,162,205
DRR059892,257,201,174,201,188,165,290,147,168,205
DRR413352,272,201,174,201,188,165,296,147,168,207
DRR413353,257,199,198,213,204,167,290,149,172,189
DRR413354,254,201,182,215,201,175,293,149,172,179
DRR445890,272,199,168,219,224,173,287,147,168,179
DRR445891,272,199,168,219,220,173,287,147,168,179
DRR445892,272,199,168,213,220,171,287,147,168,205
DRR445893,272,199,168,213,220,171,287,147,168,179
DRR445894,275,201,172,201,188,165,299,147,168,203
DRR445896,272,199,168,215,220,173,287,147,168,179
DRR445897,272,201,174,201,188,165,296,147,168,205
DRR445898,272,199,168,215,214,171,287,147,168,179
SRR10271354,257,207,198,219,201,175,290,163,168,205
SRR10271355,257,207,198,219,201,175,290,163,168,205
SRR10271356,257,207,198,219,201,175,290,163,168,205
SRR10271357,257,207,198,219,201,175,290,163,168,205
SRR11528297,257,207,196,219,201,175,290,163,168,205
SRR11528298,257,207,196,219,201,175,290,163,168,205
SRR11528299,257,207,196,219,201,175,290,163,168,205
SRR11528300,257,207,196,219,201,175,290,163,168,205
SRR11528301,257,207,196,219,201,175,290,163,168,205
SRR11528302,257,207,198,219,201,175,290,163,168,205
SRR11528303,257,207,198,219,201,175,290,163,168,205
SRR11528304,257,207,196,219,201,175,290,163,168,205
SRR11528305,257,207,196,219,201,175,290,163,168,205
SRR12887168,254,201,182,201,200,177,287,157,166,199
SRR12887169,254,201,182,201,201,177,287,157,166,199
SRR12887170,254,201,198,213,200,163,290,149,170,179
SRR12887171,257,201,178,213,204,163,293,147,168,203
SRR12887172,257,201,174,201,201,175,287,163,166,205
SRR12887173,257,207,198,219,201,175,290,163,168,205
SRR12887174,257,199,198,213,200,171,290,149,170,179
SRR12887175,263,201,176,219,201,167,287,149,168,203
SRR12887176,257,201,172,217,214,163,290,147,168,183
SRR12887177,257,199,198,215,210,165,290,149,170,179
SRR12887178,263,201,178,215,201,167,287,149,168,205
SRR12887179,257,199,198,219,200,167,290,149,170,179
SRR12887180,254,199,198,211,224,163,290,149,170,179
SRR12887181,257,199,198,213,200,163,290,149,170,179
SRR12887182,257,199,198,219,210,165,290,149,170,179
SRR12887183,251,199,170,217,196,163,293,147,168,209
SRR12887184,257,199,198,215,206,165,290,149,170,179
SRR12887185,251,199,172,219,208,167,287,147,168,177
SRR12887186,251,199,170,213,196,165,293,147,168,209
SRR12887187,251,230,160,192,201,165,278,175,172,167
SRR12887188,251,230,160,192,201,165,278,175,172,167
SRR12887189,251,232,160,192,201,165,278,175,172,167
SRR12887190,257,199,198,213,200,167,290,149,170,179
SRR12887191,257,199,194,217,210,165,290,149,170,179
SRR12887192,257,199,198,213,188,165,290,149,170,179
SRR12887193,257,199,188,217,200,165,290,149,170,179
SRR12887194,257,199,198,213,188,165,290,149,170,179
SRR12887195,272,199,168,215,220,171,284,147,168,179
SRR12887196,254,199,182,217,216,169,293,149,170,181
SRR12887197,251,199,170,211,198,163,293,147,168,211
SRR12887198,257,199,198,213,200,163,290,149,170,179
SRR12887199,257,199,198,213,200,163,290,149,170,179
SRR12887200,254,199,198,213,214,163,290,149,170,179
SRR12887201,257,199,178,213,200,167,290,149,170,179
SRR12887202,254,199,198,211,200,163,290,149,170,179
SRR12887203,257,199,198,215,210,165,290,149,170,179
SRR12887204,269,199,168,215,210,169,287,147,168,177
SRR12887205,257,199,168,219,210,165,290,149,170,179
SRR12887206,272,199,168,213,222,171,287,147,168,179
SRR12887207,272,199,168,215,218,171,284,147,168,179
SRR12887208,257,199,198,215,210,165,290,149,170,179
SRR12887209,251,199,170,213,198,163,293,147,168,211
SRR12887210,257,201,188,205,216,181,284,147,170,197
SRR12887211,251,199,170,215,196,163,293,147,168,209
SRR12887212,251,197,170,217,196,163,293,147,168,209
SRR12887213,251,199,170,215,196,163,293,147,168,209
SRR12887214,257,201,174,201,201,185,287,165,166,205
SRR12887215,257,199,198,213,200,167,290,149,170,179
